row,product_details,asin,url,color_group,color,dimension,depth_in,width_in,height_in,girth_in
399,"Apicizon Round Side Table, White Nightstand Coffee End Table for Living Room, Bedroom, Small Spaces, Easy Assembly Modern Home Decor Bedside Table with White Wood Legs, 16.5 x 20.5 Inches",B0BNJ86FCL,https://www.amazon.com/dp/B0BNJ86FCL?psc=1,white,white,"16.5""D x 16.5""W x 20.5""H",16.5,16.5,20.5,53.5
400,"Okvnbjk Rustic Coffee Table with Charging Station, 40 inch Large Living Room Coffee Table, 2-Tier Rectangle with Wireless Charger Pad & USB Port, Rustic Brown",B0BN1H36NS,https://www.amazon.com/dp/B0BN1H36NS?psc=1,brown/black,rustic brown/black,"46.2""D x 11.8""W x 29.5""H",46.2,11.8,29.5,87.5
401,"Tohomeor End Table with Charging Station LED Light Nightstand Bedroom Bed Side Dresser with Fabric Drawers Open Storage Shelf Living Room Sofa End Table with USB Ports and Outlet (Charcoal, 2 Packs)",B0BY5CG9ZX,https://www.amazon.com/dp/B0BY5CG9ZX?psc=1,black,black,"11.81""D x 15.75""W x 23.62""H",11.81,15.75,23.62,51.18
402,"HOOBRO Side Table, Flip End Table with Charging Station and Shelves, USB Ports & Power Outlets, Narrow Nightstand for Small Spaces, Stable and Sturdy, for Living Room, Bedroom, Black BK341BZ01",B0BQQM4GTZ,https://www.amazon.com/dp/B0BQQM4GTZ?psc=1,black,black,15.9 x 13.1 x 5.8,10.2,18.9,25.2,54.3
403,"Tangkula Wood Lift Top Coffee Table, Modern Coffee Table w/Hidden Compartment and Open Storage Shelf for Living Room Office Reception Room, Lift Coffee Table (White)",B0744B7PTW,https://www.amazon.com/dp/B0744B7PTW?psc=1,white,white,"19""D x 41""W x 24.5""H",19,41,24.5,84.5
404,"SUCXDZQ LED Coffee Table, Modern 2 Tiers High Glossy White Coffee Table with Remote Control, Coffee Table for Living Room",B0BXX1BMLL,https://www.amazon.com/dp/B0BXX1BMLL?psc=1,white,white,"19.6""D x 35.3""W x 13.7""H",19.6,35.3,13.7,68.6
405,"HOOBRO Side Table with Charging Station, Set of 2 End Tables with USB Ports and Outlets, Nightstand with 2-Layer Storage Shelves for Small Spaces, Living Room, Bedroom, Rustic Brown BF09UBZP201",B0B9GXYT5D,https://www.amazon.com/dp/B0B9GXYT5D?psc=1,brown/black,rustic brown/black,"11.02""D x 19.69""W x 14.96""H",11.02,19.69,14.96,45.67
406,"mopio Ensley Coffee Table, Mid Century Modern Coffee Table with Storage, Farmhouse Coffee Table, Wood Coffee Table, Living Room Tables, Center Table (Oak, Coffee Table)",B0C4Y91TZD,https://www.amazon.com/dp/B0C4Y91TZD?psc=1,brown,brown,"23.2""D x 39.2""W x 15.7""H",23.2,39.2,15.7,78.1
407,"FIRMINANA Mid Century Modern Coffee Table,Large Oval Coffee Table for Living Room,Oval Small Mangotop Black Coffee for Small Spaces,Espresso,47.3"" W x23.63 D x 17.72"" H",B0C1GN5V3P,https://www.amazon.com/dp/B0C1GN5V3P?psc=1,brown,espresso,"23.63""D x 47.24""W x 17.72""H",23.63,47.24,17.72,88.59
408,"Henn&Hart 45"" Wide Rectangular Coffee Table in Blackened Bronze, Modern coffee tables for living room, studio apartment essentials",B07N8RRPT5,https://www.amazon.com/dp/B07N8RRPT5?psc=1,clear/black,clear/black,"20""D x 45""W x 17""H",20,45,17,82
409,"Milliard Mid Century Modern Coffee Table, Black",B0BVT4Y249,https://www.amazon.com/dp/B0BVT4Y249?psc=1,black,black,"21.5""D x 43.5""W x 18""H",21.5,43.5,18,83
410,"Tribesigns Modern Coffee Table, 47 Inch Faux Marble Cocktail Table with Geometric Frame, Rectangular Center Table Tea Table Accent Furniture for Living Room, Simple Assembly (White/Gold)",B0BRT2YPBY,https://www.amazon.com/dp/B0BRT2YPBY?psc=1,white/gold,white/gold,"19.68""D x 47.2""W x 19.68""H",19.68,47.2,19.68,86.56
411,"Yoobure C Shaped End Table, Side Table for Couch and Bed, Small Side Table for Small Spaces, Living Room, Bedroom, Rustic Snack Table",B0BCJSFLB4,https://www.amazon.com/dp/B0BCJSFLB4?psc=1,grey/black,grey/black,"15.7""D x 10.2""W x 23""H",15.7,10.2,23,48.9
412,"BETTAHOME C Shaped End Table, Side Table, for Couch, Bed, Chair, Living Room, Bedroom, Slides Under Sofa, Tray for Snack, Laptop, TV Dinner, Light Wood and Black BT001B",B0BYJ5L7M6,https://www.amazon.com/dp/B0BYJ5L7M6?psc=1,brown/black,brown/black,"11.8""D x 15.7""W x 24""H",11.8,15.7,24,51.5
413,"Furinno Just 3-Tier Turn-N-Tube End Table / Side Table / Night Stand / Bedside Table with Plastic Poles, 1-Pack, Americano/Black",B07HG5Q8TP,https://www.amazon.com/dp/B07HG5Q8TP?psc=1,black,black,"11.5""D x 13.4""W x 22.8""H",11.5,13.4,22.8,47.7
414,"SUPERJARE Nightstand with Charging Station, Bed Side Table with Adjustable Fabric Drawer, Night Stand for Bedroom, 3-Tier Storage End Table, Fabric Drawer Dresser, for Living Room - Vintage Brown",B0BDFRN629,https://www.amazon.com/dp/B0BDFRN629?psc=1,brown/black,brown/black,"11.8""D x 15.7""W x 23.4""H",11.8,15.7,23.4,50.9
415,"Somdot Nightstand with 2 Drawers, Bedside Table Small Dresser with Removable Fabric Bins for Bedroom Nursery Closet Living Room - Sturdy Steel Frame, Wood Top, Pull Handle - Black/Rustic Brown",B087C39L4L,https://www.amazon.com/dp/B087C39L4L?psc=1,black,black,"11.8""D x 16.54""W x 20""H",11.8,16.54,20,48.34
416,"CubiCubi Side Table with Storage Compartment, Small End Table, Rustic File Cabinet, Cable Management, Nightstand Living Room Bedroom, White",B0915N5FPP,https://www.amazon.com/dp/B0915N5FPP?psc=1,white,white,"15.7""D x 15.7""W x 24.4""H",15.7,15.7,24.4,55.8
417,"VECELO Modern Versatile Nightstands X-Design Side End Table Night Stand Storage Shelf with Bin Drawer for Living Room Bedroom, Set of 2 (Brown)",B08C2VZZP7,https://www.amazon.com/dp/B08C2VZZP7?psc=1,brown,brown,"11.8""D x 15.8""W x 21.7""H",11.8,15.8,21.7,49.3
418,DOMYDEVM Black Nightstand with Charging Station End Table with USB Ports and Outlets Modern Bedside Table with Storage Drawer for Bedroom Living Room Farmhouse,B0BFJGDHVF,https://www.amazon.com/dp/B0BFJGDHVF?psc=1,black,black,"11.81""D x 15.75""W x 23.62""H",11.81,15.75,23.62,51.18
419,"Winsome Wood Henry Accent Table, Black, 19 inches",B000NPTUGM,https://www.amazon.com/dp/B000NPTUGM?psc=1,black,black,"15""D x 19""W x 25""H",15,19,25,59
420,"WLIVE Nightstand, 2 Drawer Dresser for Bedroom, Small Dresser with 2 Drawers, Bedside Furniture, Night Stand, End Table with Fabric Bins for Bedroom, Closet, Dorm, Charcoal Black Wood Grain Print",B095397VYK,https://www.amazon.com/dp/B095397VYK?psc=1,black,black,"11.8""D x 17.7""W x 20.9""H",11.8,17.7,20.9,50.4
421,"Rolanstar End Table with Charging Station, 3 Tier Slim Nightstand with Storage Shelf, Narrow Side Table with USB Ports & Power Outlets, Steel Frame for Living Room, Bedroom, Rustic Brown",B09W9KJL78,https://www.amazon.com/dp/B09W9KJL78?psc=1,brown/black,rustic brown/black,"11.8""D x 13.4""W x 22.8""H",11.8,13.4,22.8,48
422,Casual Home Night Owl Nightstand with USB Ports-Warm Brown,B00KS3PMR0,https://www.amazon.com/dp/B00KS3PMR0?psc=1,brown,brown,"14.25""D x 24.5""W x 17.5""H",14.25,24.5,17.5,56.25
423,"ADORNEVE Nightstand with Charging Station and LED Lights,Night Stand with Sliding Top,Bedside Table with Drawers,Modern End Side Table for Bedroom,Black",B0B387XLQR,https://www.amazon.com/dp/B0B387XLQR?psc=1,black,black,"15.8""D x 17.7""W x 26.8""H",15.8,17.7,26.8,60.3
424,"ZEXVIDA Small End Table Nightstand with Charging Station for Small Space,Bedside Table with Storage, Modern Industrial Sofa End Table for Small Place Living Room Bedroom Apartment, Rustic Brown",B0BTBWM4GH,https://www.amazon.com/dp/B0BTBWM4GH?psc=1,brown,rustic brown,"11""D x 15""W x 23""H",11,15,23,49
425,"Ameriwood Home Franklin Accent Table with 2 Drawers, Gray -",B010S2WLFG,https://www.amazon.com/dp/B010S2WLFG?psc=1,grey,grey,"15.63""D x 22""W x 28.25""H",15.63,22,28.25,65.88
426,"BOLUO White Nightstand 2 Drawer Dresser for Bedroom,Small Night Stand and Dressers Sets End Table with Fabric Drawers Modern",B0BRPRKPZN,https://www.amazon.com/dp/B0BRPRKPZN?psc=1,white,white,"13.8""D x 17.8""W x 22""H",13.8,17.8,22,53.6
427,"SOOWERY Nightstand with Charging Station, Bedside Tables with 3 Tiers Storage Space and Door, End Table with USB Ports and Outlets for Bedroom, Living Room, Black",B0BJ6ZW71K,https://www.amazon.com/dp/B0BJ6ZW71K?psc=1,black,black,"11.8""D x 15.8""W x 25.6""H",11.8,15.8,25.6,53.2
428,"AMHANCIBLE Black Nightstands Set of 2, Small End Tables Living Room with Charging Station, Night Stands with USB Ports & Outlets, Slim Side Table with Drawers for Bedroom HET03SDPBK(Black)",B0B171B9HW,https://www.amazon.com/dp/B0B171B9HW?psc=1,black,black,"15.74""D x 11.8""W x 21.65""H",15.74,11.8,21.65,49.19
429,"Babion Small Nightstand Set of 2, White Nightstands Beside Table, Midcentury Mordern Nightstand with Solid Wood Legs, Wood End Tables Nightstand with Open Storage Shelf, White Side Table",B0C1S1K75V,https://www.amazon.com/dp/B0C1S1K75V?psc=1,white,white,"16""D x 12""W x 24""H",16,12,24,52
430,"Furinno Dario End Table / Side Table / Night Stand / Bedside Table with Bin Drawer, 1-Pack, Americano/Medium Brown",B07HG5W576,https://www.amazon.com/dp/B07HG5W576?psc=1,black,black,"15.51""D x 15.51""W x 17.8""H",15.51,15.51,17.8,48.82
431,"T4TREAM Nightstand wtih Charging Station, End Table, Side Table with 2 Drawers Storage Cabinet for Bedroom, Living Room, Farmhouse Design, Wood Rustic,Light Rustic Oak",B0B8GW7BCL,https://www.amazon.com/dp/B0B8GW7BCL?psc=1,grey,grey,"18""D x 18""W x 24""H",18,18,24,60
432,"Hoctieon Nightstand, End Table with Drawer, Beside Table Furniture, Tall Nightstand Dresser, Open Storage Shelf, Easy Assenbly, for Bedroom, Living Room, Office, Wood, Rustic Brown",B0B6C7477V,https://www.amazon.com/dp/B0B6C7477V?psc=1,brown/black,brown/black,"12""D x 16""W x 25""H",12,16,25,53
433,"FOTOSOK Nightstand, 2-Tier Side Table with Drawer and Storage Shelf, Bedside Table End Table, Modern Night Stand for Bedroom, Living Room, Home Office, Vintage Grey",B09Y57GXYZ,https://www.amazon.com/dp/B09Y57GXYZ?psc=1,grey,grey,"15.7""D x 17.7""W x 23.6""H",15.7,17.7,23.6,57
434,"Lerliuo Rattan Nightstand, Boho Side Table with Drawer Open Shelf, Cane Accent Bedside End Table with Solid Wood Legs for Bedroom, Dorm and Small Spaces",B0BRQBVKBB,https://www.amazon.com/dp/B0BRQBVKBB?psc=1,brown,natural wood,"11.8""D x 15.8""W x 21.6""H",11.8,15.8,21.6,49.2
435,"i-aplus Bedside Table with 2 Drawers, LED Nightstand Wooden Cabinet Unit with LED Lights for Bedroom, End Table Side Table for Bedroom Living Room, Black",B08XN99Z9L,https://www.amazon.com/dp/B08XN99Z9L?psc=1,black,black,"19""D x 14""W x 20""H",19,14,20,53
436,"ADORNEVE Nightstand 3 Drawers with Open Storage,Side Tables Bedroom with Charging Station,Bedside Table with Drawers,White",B08QRNK1DT,https://www.amazon.com/dp/B08QRNK1DT?psc=1,white,white,"13.8""D x 15.8""W x 23.6""H",13.8,15.8,23.6,53.2
437,"Masupu Nightstand with Charging Station,Mid-Century Modern Bedside Table with Storage Drawer and Open Wood Shelf,Small Gold Frame Side Table for Bedroom,Living Room,White",B0BWY9ZCX3,https://www.amazon.com/dp/B0BWY9ZCX3?psc=1,white,white,"11.8""D x 15.7""W x 22.2""H",11.8,15.7,22.2,49.7
438,"T4TREAM White Nightstand with Charging Station, End Table, Side Table with 2 Drawers Storage Cabinet & Open Shelf for Bedroom, Living Room, Vintage Design, Wood Rustic, Antique White",B0C49DTPG6,https://www.amazon.com/dp/B0C49DTPG6?psc=1,white,white,"18""D x 18""W x 24""H",18,18,24,60
439,"MaxSmeo End Table with Storage Mid Century Nightstand with Rattan Drawer and Shelf, Wood Small Side Coffee Table for Small Space, Living Room and Bedroom, Easy Assembly (Black)",B09QM44N72,https://www.amazon.com/dp/B09QM44N72?psc=1,black,black,"11.8""D x 15.7""W x 23.6""H",11.8,15.7,23.6,51.1
440,"LVSOMT Nightstand with Charging Station and USB Ports, Rustic Brown Bedside Table with Open Shelf, Mid Century Modern Nightstand with 2 Drawers, Night Stands for Bedroom…",B09N6PGZY8,https://www.amazon.com/dp/B09N6PGZY8?psc=1,brown,rustic brown,"16""D x 18""W x 26""H",16,18,26,60
441,Modway Render Mid-Century Modern End Table or Nightstand in Walnut,B07VWKTQV6,https://www.amazon.com/dp/B07VWKTQV6?psc=1,brown,brown,"15""D x 19""W x 21.5""H",15,19,21.5,55.5
442,"IKENO Nightstand with LED Lights and Charging Station, 3 Drawers End Table Bedside Table for Bedroom (Rustic Brown)",B0C2Q7RJ7T,https://www.amazon.com/dp/B0C2Q7RJ7T?psc=1,brown,rustic brown,"13.8""D x 17.7""W x 23.6""H",13.8,17.7,23.6,55.1
443,"AMHANCIBLE LED Nightstands Set of 2, End Side Table with Wireless Charging Station, Bedside Table with USB Port & Outlet, Smart Night Stand with Fabric Drawers for Bedroom Living Room HET053LGY",B0B93G82K2,https://www.amazon.com/dp/B0B93G82K2?psc=1,grey/black,grey/black,26.6 x 15.9 x 9.5,26.6,15.9,9.5,52
444,"IKENO Nightstand with LED Lights and Charging Station, 2 Drawers End Table Bedside Table for Bedroom (Black)",B0C2Q19K7L,https://www.amazon.com/dp/B0C2Q19K7L?psc=1,black,black,"13.8""D x 17.7""W x 23.6""H",13.8,17.7,23.6,55.1
445,"Tohomeor End Table with Charging Station LED Light Nightstand Bedroom Bed Side Dresser with Fabric Drawers Open Storage Shelf Living Room Sofa End Table with USB Ports and Outlet (White, 1 Pack)",B0BY5969GS,https://www.amazon.com/dp/B0BY5969GS?psc=1,black,black,"11.81""D x 15.75""W x 23.62""H",11.81,15.75,23.62,51.18
446,"OYEAL Gray Night Stand with Charging Station 2-Tier Side Tables Bedroom with Drawer Small Bedside Table with USB Ports and Outlets for Bedroom Living Room, Rustic Grey",B0B82225B9,https://www.amazon.com/dp/B0B82225B9?psc=1,grey,grey,"11.8""D x 15.7""W x 23.6""H",11.8,15.7,23.6,51.1
447,"Winsome Wood Claire Accent Table, White",B000NPTUDA,https://www.amazon.com/dp/B000NPTUDA?psc=1,white,white,"18""D x 18""W x 22""H",18,18,22,58
448,"ADORNEVE LED Nightstand Black Nightstand with Wireless Charging Station 2 Drawers, Modern Bedroom End Side Table with LED Lights, Wooden Sofa Bedside Table with Pull-Out Shelf",B0B48NXHC1,https://www.amazon.com/dp/B0B48NXHC1?psc=1,black,black,"13.9""D x 15.8""W x 23.6""H",13.9,15.8,23.6,53.3
449,"Rolanstar Nightstand with Charging Station and LED Lights, 2 AC and USB Power Outlets, Night Stand with 2 Drawers and Storage Shelves, Bedside Table for Bedroom - White",B09Y8RZX66,https://www.amazon.com/dp/B09Y8RZX66?psc=1,white,white,"13.7""D x 17.7""W x 28.5""H",13.7,17.7,28.5,59.9
450,"Signature Design by Ashley Realyn Traditional Cottage 1 Drawer Nightstand with Dovetail Construction & Open Display Shelf, Chipped White, Distressed Brown",B07MHJLSPT,https://www.amazon.com/dp/B07MHJLSPT?psc=1,white,white,"16""D x 24""W x 27""H",16,24,27,67
451,"White Nightstands Set of 2, Small Night Stand with Drawer and Shelf Storage End Table for Bedroom, Dorm, Modern",B0BX66B4B2,https://www.amazon.com/dp/B0BX66B4B2?psc=1,white,white,"13.8""D x 17.8""W x 22.8""H",13.8,17.8,22.8,54.4
452,"AMERLIFE Rattan Nightstands Set of 2, Boho Accent Bedside Tables with 2 Solid Wood Drawers Storage End Table, Woven Natural Vintage Side Table for Bedroom, Black(2pcs)",B0BY26WTWJ,https://www.amazon.com/dp/B0BY26WTWJ?psc=1,black,black,"13.4""D x 18.2""W x 23.6""H",13.4,18.2,23.6,55.2
453,"Nathan James Mina Side, End Table Wood Finish & Matte Accents with Storage for Living Room or Nightstand, Bedroom, Natural Oak/Black",B084HCTYZ7,https://www.amazon.com/dp/B084HCTYZ7?psc=1,brown,natural wood,"17""D x 19""W x 22""H",17,19,22,58
454,"VASAGLE Side Table with Charging Station, Narrow End Table with 2 Drawers, Slim Nightstand and Bedside Table with Storage, for Small Spaces, Black ULET321B22",B0BRXZFWDZ,https://www.amazon.com/dp/B0BRXZFWDZ?psc=1,black,black,"23.6""D x 13.8""W x 24""H",23.6,13.8,24,61.4
455,"LELELINKY White Nightstand with Charging Station and USB Ports, 2 Tier Night Stand with Drawers Open Storage Shelf, Modern Narrow Sofa Side Tables, Small Wood End Table for Bedroom,Living Room",B0C2CTGJS7,https://www.amazon.com/dp/B0C2CTGJS7?psc=1,white,white,"13.5""D x 17.5""W x 4.9""H",12.6,15.55,25.2,53.35
456,YBING Nightstand Bedroom Bedside Table with Fabric Drawers End Table with Storage Open Shelf Side Table for Living Room Home Dorm Small Space Black,B0BS5KX88P,https://www.amazon.com/dp/B0BS5KX88P?psc=1,black,black,"15.7""D x 23.8""W x 11.8""H",15.7,23.8,11.8,51.3
457,"SUPERJARE Nightstands Set of 2, Rattan Nightstands with Charging Station & PE Rattan Decor Drawer, Bed Side Tables with Solid Wood Feet, End Table, Night Stands, for Bedroom, Dorm - Natural",B0BBL4XJTD,https://www.amazon.com/dp/B0BBL4XJTD?psc=1,brown,natural wood,"11.8""D x 15.9""W x 23.4""H",11.8,15.9,23.4,51.1
458,"Finnhomy Nightstand, End Table, Side Table with 2 Hand Made Rattan Decorated Drawers, Wood Accent Table with Storage for Bedroom, Natural (Patented)",B08N64VS3X,https://www.amazon.com/dp/B08N64VS3X?psc=1,brown,natural wood,"15.55""D x 15.75""W x 21.65""H",15.55,15.75,21.65,52.95
459,"Lerliuo Nightstand with Charging Station and Led Lights, Night Stand with USB Ports and Outlets, Modern Bedside Table with Drawer and Storage Shelf, Black Smart Side Tables for Bedroom",B0BQ6B4CXF,https://www.amazon.com/dp/B0BQ6B4CXF?psc=1,black,black,"15.74""D x 11.8""W x 25.98""H",15.74,11.8,25.98,53.52
460,"Lerliuo Nightstand with Charging Station and USB Ports, 3-Tier End Side Table with Storage Drawer and Shelf, Modern Bedside Night Stand for Bedroom, Living Room- Retro Brown",B09W1C88V5,https://www.amazon.com/dp/B09W1C88V5?psc=1,brown/black,rustic brown/black,"11.8""D x 16.7""W x 24""H",11.8,16.7,24,52.5
461,"Masupu Nightstand,Mid-Century Modern Bedside Table with Storage Drawer and Open Wood Shelf,Small Gold Frame Side Table for Bedroom,Living Room,White",B0BJCZ23KJ,https://www.amazon.com/dp/B0BJCZ23KJ?psc=1,white,white,"11.8""D x 15.7""W x 22.2""H",11.8,15.7,22.2,49.7
462,"Rolanstar Nightstand with Charging Station and LED Lights, Mid Century Modern End Table with 2 Sliding Drawers for Living Room, Bed Side Table for Bedroom - White",B0B2QNTZJW,https://www.amazon.com/dp/B0B2QNTZJW?psc=1,white,white,"13.8""D x 19.7""W x 25.2""H",13.8,19.7,25.2,58.7
463,"Rolanstar Nightstand with Wireless Charging Station and LED Lights, Tool Free Quick Install Modern End Table with 3 Drawers, Side Table for Bedroom, White",B0B1Q7BCP6,https://www.amazon.com/dp/B0B1Q7BCP6?psc=1,white,white,"13.8""D x 15.7""W x 23.6""H",13.8,15.7,23.6,53.1
464,"Furnulem Nightstand with 3 Drawers and 2-Tier Shelf, Fabric Small Dresser Organizer Vertical Storage Tower for Bedroom, Closet, Hallway, Nursery, End Table Side Furniture, Sturdy Steel Frame, Wood Top",B0BDVXTC6S,https://www.amazon.com/dp/B0BDVXTC6S?psc=1,brown/black,rustic brown/black,"11.5""D x 16.1""W x 28.3""H",11.5,16.1,28.3,55.9
465,AILEEKISS Nightstand with Wireless Charging Function Wooden Night Stands with 2 Drawers and Open Shelf Storage Cabinet End Table Home Bedside Table for Bedroom (White),B099WW8WKG,https://www.amazon.com/dp/B099WW8WKG?psc=1,white,white,"15.75""D x 22.44""W x 23.62""H",15.75,22.44,23.62,61.81
466,Filano Floating Nightstand Geometric Wall Shelves for Bedroom Rustic Wood Bedside Shelf Wall Mounted Nightstand Small Nightstand Floating Bedside Table Carbonized Black,B0BQ6XMDRL,https://www.amazon.com/dp/B0BQ6XMDRL?psc=1,brown/black,brown/black,"15""D x 7.1""W x 8.6""H",15,7.1,8.6,30.7
467,"AEPOALUA Masupu Nightstand, 2 Drawer Dresser for Bedroom, Small Side Table with 2 Drawers, Bedside Furniture, Night Stand, End Table with Gold Frame for Bedroom,Living Room,White",B0BTLS8NF3,https://www.amazon.com/dp/B0BTLS8NF3?psc=1,white,white,"11.81""D x 15.75""W x 22.05""H",11.81,15.75,22.05,49.61
468,"Sorbus Nightstand Dresser with 2 Faux Wood Drawers - Bedside Table Chest with Storage - Bedroom, Living Room, Closet & Dorm Furniture-Lamp Stand - Steel Frame, Wood Top, Easy Pull Fabric Bins",B0B3NCNM32,https://www.amazon.com/dp/B0B3NCNM32?psc=1,grey/black,grey/black,"12""D x 22""W x 34""H",12,22,34,68
469,"Nightstand with Charging Station and USB Ports, 3 Tier Small Bedside Table with Drawer and Storage Shelf Rustic Night Stand for Small Space, Living Room, Bedroom, Black",B0B821DLLQ,https://www.amazon.com/dp/B0B821DLLQ?psc=1,black,black,"12""D x 16""W x 23""H",12,16,23,51
470,"Reettic Nightstand with Charging Station and USB Ports & Power Outlets, Wooden End Table with Drawer and Opening Shelf, Side Table for Bedroom, Black RCTG101BE",B09C5VBK2X,https://www.amazon.com/dp/B09C5VBK2X?psc=1,black,black,"15.7""D x 17.7""W x 23.6""H",15.7,17.7,23.6,57
471,"White Nightstand with Wireless Charging Station and LED Lights, Modern End Side Table with 3 Drawers, Wooden Cabinet Stand by Sofa, Bedside Tables for Bedroom with USB Ports Outlet & Open Storage",B0BRQBT718,https://www.amazon.com/dp/B0BRQBT718?psc=1,white,white,"13.78""D x 15.75""W x 23.62""H",13.78,15.75,23.62,53.15
472,"ADORNEVE Nightstands Set of 2,Grey Nightstand with Charging Station & Drawers,Night Stands for Bedrooms Set of 2",B0B8Z6BL9D,https://www.amazon.com/dp/B0B8Z6BL9D?psc=1,grey,grey,"13.8""D x 15.8""W x 23.6""H",13.8,15.8,23.6,53.2
473,"BUYT Portable End Table Mobile Folding Table Overbed Table with Castors for Bedroom, Living Room, Sofa Multifunctional and Practical Wheels Side Table (Color : Blue)",B08MBQTM9R,https://www.amazon.com/dp/B08MBQTM9R?psc=1,white,white,"16.93""D x 30.71""W x 42.13""H",16.93,30.71,42.13,89.77
474,"HOOBRO Nightstand with Charging Station and USB Ports, 3-Tier End Table with Adjustable Shelves, Side Table for Small Space Living Room, Bedroom and Balcony, Modern Style, Gold and White DW112BZ01G1",B0BTBVGMN4,https://www.amazon.com/dp/B0BTBVGMN4?psc=1,white/gold,white/gold,"11""D x 15""W x 21.7""H",11,15,21.7,47.7
475,"ALLOSWELL End Table, Side Table with Storage Shelf, Nightstand for Small Spaces, Bedside Table, for Living Room, Bedroom, Easy Assembly, Rustic Brown ETHR5001",B09G2G448L,https://www.amazon.com/dp/B09G2G448L?psc=1,brown/black,rustic brown/black,"10.6""D x 14.6""W x 19.9""H",10.6,14.6,19.9,45.1
476,"AOJEZOR End Table,Accent Table Ideal for Any Room-Side Table Living Room,Side Tables Bedroom,Side Table Waterproof Metal Structure Great for Indoor & Outdoor,Matte Black Tray Surface with 3 Legs",B09X9GMLZG,https://www.amazon.com/dp/B09X9GMLZG?psc=1,black,black,"16.9""D x 16.9""W x 18""H",16.9,16.9,18,51.8
477,"CubiCubi C Shaped End Table, Side Table for Couch and Bed, Rustic Table Living Room Bedroom, Small Table with Metal Frames, Modern Design, White",B092HJRLC3,https://www.amazon.com/dp/B092HJRLC3?psc=1,white/black,white/black,"10.3""D x 15.7""W x 23.2""H",10.3,15.7,23.2,49.2
478,"LUCKNOCK Nightstand, Mid-Century Modern Bedside Tables with Storage Shelf, Minimalist and Practical End Side Table, Fashion Bedroom Furnitur,Rustic Brown.",B0BK8F8KWQ,https://www.amazon.com/dp/B0BK8F8KWQ?psc=1,brown,rustic brown,"11.8""D x 15.7""W x 24.4""H",11.8,15.7,24.4,51.9
479,"danpinera 2 Tier Metal Side Table with Removable Tray, Folding End Table Outdoor Side Table Small Accent Table, Anti-Rust Green Nightstand for Bedroom Balcony Patio (Dark Green)",B09GKGWZP3,https://www.amazon.com/dp/B09GKGWZP3?psc=1,other,green,"17.1""D x 17.1""W x 21.2""H",17.1,17.1,21.2,55.4
480,"WLIVE End Table, 2-Tier Small Side Table with Open Storage, Narrow Side Stand for Bedroom, Living Room, Couch, Modern End Stand with Sturdy Metal Frame, Sturdy Easy Assembly,Rustic Brown and Black",B0BCKF7NXF,https://www.amazon.com/dp/B0BCKF7NXF?psc=1,brown/black,rustic brown/black,"15""D x 19.6""W x 11.8""H",15,19.6,11.8,46.4
481,"VASAGLE Round End Table with Lower Shelf, Nightstand for Small Spaces, Modern Farmhouse Style, 15.8”Dia. x 19.7”H (40 x 50 cm), Rustic Walnut",B0B18NB7ZF,https://www.amazon.com/dp/B0B18NB7ZF?psc=1,brown,brown,"15.8""D x 15.8""W x 19.7""H",15.8,15.8,19.7,51.3
482,"AWASEN Side Table Round, Small Accent Table Nightstand Modern End Table for Living Room Bedroom Office Small Spaces, 16''D x 19.5''H(Natural Walnut)",B09FJ9KWXF,https://www.amazon.com/dp/B09FJ9KWXF?psc=1,brown,natural wood,"16""D x 16""W x 19.5""H",16,16,19.5,51.5
483,"Tribesigns Wood End Table, 2-Drawer Narrow Solid Side Table Slim Chair Side Table, No Assembly Required, Finished Back, Walnut",B0BNVDY12F,https://www.amazon.com/dp/B0BNVDY12F?psc=1,brown,brown,"10.8""D x 23.6""W x 23.6""H",10.8,23.6,23.6,58
484,"Monarch Specialties , Nesting Table, Chrome Metal, Glossy White, Table Set, 2 pcs",B008V6R8UA,https://www.amazon.com/dp/B008V6R8UA?psc=1,silver,silver,"19.75""D x 19.75""W x 21.25""H",19.75,19.75,21.25,60.75
485,Grey Nightstand with Charging Station Bedroom End Tables with USB Ports and Outlets 3 Tier Bed Side Table with Storage Shelves Farmhouse Night Stand Table with Power Charging for Living Room Study,B0BFJC3NCJ,https://www.amazon.com/dp/B0BFJC3NCJ?psc=1,grey/black,grey/black,"11.8""D x 15.7""W x 23.8""H",11.8,15.7,23.8,51.3
486,"HOOBRO Nightstands Set of 2, 3-Tier Side Table with Adjustable Shelf, Industrial End Table for Small Space in Living Room, Bedroom and Balcony, Stable Metal Frame, Rustic Brown BF12BZ01",B097R1TXD1,https://www.amazon.com/dp/B097R1TXD1?psc=1,brown/black,rustic brown/black,"11""D x 15""W x 21.7""H",11,15,21.7,47.7
487,"C Shaped Side Table, C Shaped End Table for Sofa Couch and Bed, Portable Laptop Table, Coffee Snack Table, Sofa Side Table, Wood Look Accent Table, Space Saving in Living Room, Black",B0BLSDH26S,https://www.amazon.com/dp/B0BLSDH26S?psc=1,black,black,"15.75""D x 11.81""W x 23.62""H",15.75,11.81,23.62,51.18
488,"Apicizon Round Side Table, White Tray Nightstand Coffee End Table for Living Room, Bedroom, Small Spaces, Easy Assembly Bedside Table, 15 x 18 Inches",B08PD1LNFV,https://www.amazon.com/dp/B08PD1LNFV?psc=1,white,white,"15""D x 15""W x 18""H",15,15,18,48
